epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9622.91,1.00767,0.56449,1.21664,0.95681,0.8725,0.95119,0.7069,0.92164,0.45335,1.19349,0.008614,0.008614,0.008614
44,9836.41,1.00416,0.56286,1.21353,0.924,0.92964,0.96732,0.73585,0.89846,0.42403,1.17138,0.008581,0.008581,0.008581
45,10049.9,1.0062,0.57208,1.21988,0.95784,0.90323,0.96224,0.72222,0.89855,0.43641,1.16955,0.008548,0.008548,0.008548
46,10263.2,1.00591,0.56858,1.21829,0.95442,0.9047,0.96634,0.72558,0.9004,0.44089,1.18097,0.008515,0.008515,0.008515
47,10476.6,0.99883,0.56096,1.22273,0.92803,0.91794,0.96188,0.71955,0.90519,0.4231,1.17924,0.008482,0.008482,0.008482
48,10689.7,1.00245,0.55427,1.22404,0.94238,0.92475,0.96122,0.72796,0.89707,0.42376,1.17809,0.008449,0.008449,0.008449
49,10903.4,1.0018,0.55084,1.20866,0.93168,0.92479,0.96219,0.71942,0.91049,0.42733,1.18219,0.008416,0.008416,0.008416
50,11117.8,0.99767,0.55741,1.21442,0.95779,0.92268,0.9686,0.73302,0.88524,0.41177,1.17368,0.008383,0.008383,0.008383
51,11331.3,0.98908,0.54437,1.21039,0.93821,0.91548,0.96061,0.73091,0.89742,0.42175,1.18029,0.00835,0.00835,0.00835
52,11546.2,0.99744,0.53993,1.20911,0.95699,0.91376,0.96535,0.73606,0.88302,0.41025,1.15828,0.008317,0.008317,0.008317
53,11760,0.98664,0.54439,1.20662,0.9369,0.93257,0.96436,0.73458,0.87265,0.3995,1.17497,0.008284,0.008284,0.008284
54,11973,0.97792,0.54368,1.19971,0.93778,0.90866,0.96259,0.73125,0.88839,0.40631,1.17668,0.008251,0.008251,0.008251
55,12185.6,0.98705,0.54225,1.20276,0.93778,0.91743,0.96303,0.73279,0.89395,0.40895,1.16733,0.008218,0.008218,0.008218
56,12398.6,0.97863,0.52696,1.20257,0.94579,0.93086,0.96499,0.74261,0.88159,0.39605,1.15875,0.008185,0.008185,0.008185
57,12611.2,0.9829,0.53009,1.19934,0.93973,0.92476,0.96022,0.73711,0.88044,0.40358,1.17204,0.008152,0.008152,0.008152
58,12822.6,0.97288,0.53442,1.20016,0.95232,0.93219,0.9689,0.7464,0.88694,0.39008,1.17504,0.008119,0.008119,0.008119
59,13033.8,0.97072,0.52542,1.19062,0.95331,0.92773,0.96115,0.73992,0.87955,0.39317,1.16276,0.008086,0.008086,0.008086
60,13247.3,0.97486,0.52849,1.20059,0.95539,0.93352,0.9657,0.74046,0.8717,0.3996,1.16047,0.008053,0.008053,0.008053
61,13461.7,0.96451,0.52388,1.19315,0.96285,0.92023,0.96896,0.74575,0.86882,0.3965,1.15262,0.00802,0.00802,0.00802
62,13675,0.95576,0.52585,1.19214,0.95943,0.90021,0.96479,0.73,0.88979,0.40948,1.17555,0.007987,0.007987,0.007987
63,13889.2,0.96864,0.52645,1.1913,0.9505,0.92855,0.96535,0.74226,0.87634,0.40119,1.16055,0.007954,0.007954,0.007954
64,14101.9,0.95891,0.52466,1.18958,0.94859,0.90675,0.96523,0.73767,0.86953,0.39029,1.16579,0.007921,0.007921,0.007921
65,14315.8,0.95417,0.5282,1.18498,0.94751,0.91512,0.96288,0.74171,0.8687,0.39263,1.16104,0.007888,0.007888,0.007888
66,14529.4,0.96229,0.52268,1.19356,0.94028,0.92775,0.96543,0.74185,0.86721,0.3873,1.16132,0.007855,0.007855,0.007855
67,14743.6,0.9486,0.51565,1.19018,0.96445,0.92757,0.97031,0.74217,0.88386,0.39736,1.17903,0.007822,0.007822,0.007822
68,14956.7,0.95324,0.52033,1.18509,0.95631,0.9296,0.9656,0.74161,0.86177,0.38402,1.15614,0.007789,0.007789,0.007789
69,15168,0.96732,0.52055,1.18866,0.9639,0.88758,0.95964,0.73602,0.86966,0.39039,1.1596,0.007756,0.007756,0.007756
70,15379.9,0.94789,0.51636,1.1865,0.95234,0.92574,0.96436,0.74191,0.8714,0.38889,1.16929,0.007723,0.007723,0.007723
71,15590.7,0.9443,0.51302,1.17518,0.95001,0.93066,0.96686,0.73922,0.86419,0.38185,1.16069,0.00769,0.00769,0.00769
72,15808.5,0.94071,0.50561,1.18139,0.9687,0.92433,0.9686,0.74901,0.85581,0.37679,1.15951,0.007657,0.007657,0.007657
73,16027.2,0.93749,0.50106,1.17276,0.95249,0.92388,0.97145,0.74849,0.86337,0.38141,1.15502,0.007624,0.007624,0.007624
74,16246.4,0.94543,0.50313,1.17541,0.95457,0.92989,0.96643,0.74674,0.86106,0.38009,1.15051,0.007591,0.007591,0.007591
75,16465.2,0.94149,0.50306,1.17952,0.95214,0.93728,0.97005,0.74859,0.86081,0.37386,1.15905,0.007558,0.007558,0.007558
76,16685.4,0.93768,0.49831,1.16793,0.94822,0.93543,0.96877,0.74691,0.86286,0.37903,1.15593,0.007525,0.007525,0.007525
77,16903.2,0.94709,0.50212,1.17942,0.94416,0.93201,0.96777,0.74736,0.87403,0.38191,1.16854,0.007492,0.007492,0.007492
78,17122.2,0.94029,0.50408,1.17745,0.96735,0.91222,0.97094,0.75397,0.84902,0.37042,1.14536,0.007459,0.007459,0.007459
79,17341.1,0.93634,0.49223,1.17123,0.97017,0.90305,0.9669,0.74813,0.85624,0.37414,1.14288,0.007426,0.007426,0.007426
80,17561.5,0.92259,0.48901,1.16423,0.94843,0.92244,0.96187,0.74631,0.85281,0.37225,1.14602,0.007393,0.007393,0.007393
81,17780.7,0.9357,0.49575,1.17608,0.9552,0.91992,0.96849,0.74962,0.85371,0.36746,1.14951,0.00736,0.00736,0.00736
